Label,Id,omics_type,taxonomy
ASV_00057,1,ASV,ASV_00057: Thermoplasmata; Marine Group II
ASV_00292,2,ASV,ASV_00292: Thermoplasmata; Marine Group II
ASV_00821,3,ASV,ASV_00821: Thermoplasmata; Marine Group II
ASV_00016,4,ASV,ASV_00016: Acidimicrobia; Candidatus Actinomarina
ASV_00100,5,ASV,ASV_00100: Acidimicrobia; Candidatus Actinomarina
ASV_00134,6,ASV,ASV_00134: Acidimicrobia; Candidatus Actinomarina
ASV_00567,7,ASV,ASV_00567: Bacteroidia; Chitinophagales
ASV_00360,8,ASV,ASV_00360: Bacteroidia; Fabibacter
ASV_00006,9,ASV,ASV_00006: Bacteroidia; Cryomorphaceae
ASV_00069,10,ASV,ASV_00069: Bacteroidia; Cryomorphaceae
ASV_00074,11,ASV,ASV_00074: Bacteroidia; Cryomorphaceae
ASV_00109,12,ASV,ASV_00109: Bacteroidia; NS4 marine group
ASV_00032,13,ASV,ASV_00032: Bacteroidia; NS5 marine group
ASV_00107,14,ASV,ASV_00107: Bacteroidia; NS5 marine group
ASV_00825,15,ASV,ASV_00825: Bacteroidia; NS5 marine group
ASV_00009,16,ASV,ASV_00009: Bacteroidia; Flavobacteriaceae
ASV_00036,17,ASV,ASV_00036: Bacteroidia; NS9 marine group
ASV_00158,18,ASV,ASV_00158: Bacteroidia; NS9 marine group
ASV_00199,19,ASV,ASV_00199: Bacteroidia; NS9 marine group
ASV_00240,20,ASV,ASV_00240: Bdellovibrionia; OM27 clade
ASV_00386,21,ASV,ASV_00386: Bdellovibrionia; OM27 clade
ASV_00487,22,ASV,ASV_00487: Bdellovibrionia; OM27 clade
ASV_00514,23,ASV,ASV_00514: Bdellovibrionia; OM27 clade
ASV_00507,24,ASV,ASV_00507: Dadabacteria; Dadabacteriales
ASV_00337,25,ASV,ASV_00337: Desulfuromonadia; Bradymonadales
ASV_00482,26,ASV,ASV_00482: Desulfuromonadia; Bradymonadales
ASV_00349,27,ASV,ASV_00349: Fusobacteria; Propionigenium
ASV_00145,28,ASV,ASV_00145: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00375,29,ASV,ASV_00375: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00431,30,ASV,ASV_00431: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00319,31,ASV,ASV_00319: Planctomycetota; OM190
ASV_00233,32,ASV,ASV_00233: Alphaproteobacteria; SAR116 clade
ASV_00245,33,ASV,ASV_00245: Alphaproteobacteria; SAR116 clade
ASV_00323,34,ASV,ASV_00323: Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_00003,35,ASV,ASV_00003: Alphaproteobacteria; HIMB11
ASV_00024,36,ASV,ASV_00024: Alphaproteobacteria; Rhodobacteraceae
ASV_00039,37,ASV,ASV_00039: Alphaproteobacteria; Rhodobacteraceae
ASV_00050,38,ASV,ASV_00050: Alphaproteobacteria; Rhodobacteraceae
ASV_00113,39,ASV,ASV_00113: Alphaproteobacteria; AEGEAN-169 marine group
ASV_02389,40,ASV,ASV_02389: Alphaproteobacteria; Rickettsiaceae
ASV_00068,41,ASV,ASV_00068: Alphaproteobacteria; SAR11 Clade Ia
